,input.source,input.ap,input.states,input.edges,input.transitions,Acceptance Sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,Base,Skip,Jump,SkipJump,BaseMin,SkipMin,JumpMin,SkipJumpMin
145,random_automata.hoa:3804.1-3834.7,4,7,15,15,3,1,0,0,0,54,46,54,46,41,41,41,41
146,random_automata.hoa:3835.1-3852.7,4,4,5,5,3,1,0,0,0,28,23,18,13,14,14,9,9
147,random_automata.hoa:3853.1-3880.7,4,6,13,13,3,1,0,0,0,41,34,37,30,27,27,23,23
148,random_automata.hoa:3881.1-3907.7,4,6,12,12,3,2,1,1,0,82,63,57,38,20,20,14,14
149,random_automata.hoa:3908.1-3926.7,4,3,7,7,3,1,0,0,0,24,20,20,16,13,13,7,7
150,random_automata.hoa:3927.1-3949.7,4,5,9,9,3,1,0,0,0,33,27,33,27,18,18,16,16
151,random_automata.hoa:3950.1-3973.7,4,5,10,10,3,1,0,0,0,38,32,38,32,25,25,24,24
152,random_automata.hoa:3974.1-4007.7,4,7,18,18,3,1,1,1,0,173,144,110,88,45,45,40,40
153,random_automata.hoa:4008.1-4030.7,4,5,9,9,3,1,0,0,0,36,30,30,24,23,23,21,21
154,random_automata.hoa:4031.1-4060.7,4,7,14,14,3,1,1,1,0,174,152,80,49,71,71,35,35
155,random_automata.hoa:4061.1-4088.7,4,6,13,13,3,1,0,0,0,49,42,45,38,37,37,33,33
156,random_automata.hoa:4089.1-4122.7,4,7,18,18,3,1,1,1,0,279,222,279,222,91,91,91,91
157,random_automata.hoa:4123.1-4149.7,4,6,12,12,3,1,2,1,0,240,196,215,171,72,72,65,65
158,random_automata.hoa:4150.1-4173.7,4,5,10,10,3,1,0,0,0,34,28,30,24,23,23,17,17
159,random_automata.hoa:4174.1-4200.7,4,5,13,13,3,1,1,1,0,148,115,148,115,71,71,71,71
160,random_automata.hoa:4201.1-4225.7,4,5,11,11,3,1,0,0,0,38,32,38,32,25,25,25,25
161,random_automata.hoa:4226.1-4258.7,2,7,17,17,4,1,2,1,0,804,695,515,425,173,173,138,138
162,random_automata.hoa:4259.1-4283.7,2,5,11,11,4,1,1,1,0,268,237,230,199,75,75,55,55
163,random_automata.hoa:4284.1-4314.7,2,7,15,15,4,1,3,1,0,320,269,228,176,105,105,91,91
164,random_automata.hoa:4315.1-4336.7,2,5,8,8,4,1,0,0,0,39,33,38,32,19,19,19,19
